,DONid,Headline,ReportDate,Link,DiseaseLevel1,DiseaseLevel2,Country,ISO,OutbreakEpicenter,CasesTotal,in_dis,year,id,Notes,Serology Info,
39,DON-2003-10-30,Dengue fever in India,10/30/03,https://www.who.int/emergencies/disease-outbreak-news/item/2003_10_30-en/,Dengue fever,NA,India,IND,"Delhi, surrounding areas",NA,yes,2003,IND_2003,,"Yes, no prop",
45,DON-2004-05-11-b,Dengue fever in Indonesia - update 4,5/11/04,https://www.who.int/emergencies/disease-outbreak-news/item/2004_05_11a-en/,Dengue fever,NA,Indonesia,IDN,all provinces,58301,yes,2004,IDN_2004,,Yes ,
46,DON-2005-02-03,Dengue haemorrhagic fever in Timor-Leste - update,2/3/05,https://www.who.int/emergencies/disease-outbreak-news/item/2005_02_03-en/,Dengue fever,NA,Timor-Leste,TLS,"Baucau, Dili, Liquica, Maliana and Manatuto",95,no,2005,TLS_2005,,No,
52,DON-2006-03-17,Chikungunya and Dengue in the south west Indian Ocean,3/17/06,https://www.who.int/emergencies/disease-outbreak-news/item/2006_03_17-en/,Dengue fever,NA,La R-union Island,REU,NA,NA,no,2006,REU_2006,,No,
50,DON-2006-03-17,Chikungunya and Dengue in the south west Indian Ocean,3/17/06,https://www.who.int/emergencies/disease-outbreak-news/item/2006_03_17-en/,Dengue fever,NA,Madagascar,MDG,Toamasina,602,no,2006,MDG_2006,,No,
51,DON-2006-03-17,Chikungunya and Dengue in the south west Indian Ocean,3/17/06,https://www.who.int/emergencies/disease-outbreak-news/item/2006_03_17-en/,Dengue fever,NA,Maldives,MDV,NA,NA,yes,2006,MDV_2006,,No,
53,DON-2008-04-10,Dengue/dengue haemorrhagic fever in Brazil,4/10/08,https://www.who.int/emergencies/disease-outbreak-news/item/2008_04_10-en/,Dengue fever,NA,Brazil,BRA,Rio de Janeiro,120570,yes,2007,BRA_2008,,Yes,
55,DON-2009-11-18,Dengue fever in Cape Verde - update 1,11/18/09,https://www.who.int/emergencies/disease-outbreak-news/item/2009_11_18-en/,Dengue fever,NA,Cape Verde,CPV,"Brava, Fogo, Maio, Sal, Santiago",NA,no,2009,CPV_2009,,No,
56,DON-2010-10-25-b,Crimean-Congo haemorrhagic fever (CCHF) and Dengue in Pakistan,10/25/10,https://www.who.int/emergencies/disease-outbreak-news/item/2010_10_25a-en/,Dengue fever,NA,Pakistan,PAK,NA,NA,yes,2010,PAK_2010,,No,
57,DON-2012-10-17,"Dengue Fever in Madeira, Portugal",10/17/12,https://www.who.int/emergencies/disease-outbreak-news/item/2012_10_17-en/,Dengue fever,NA,Portugal,PRT,Madeira,NA,no,2012,PRT_2012,,No,
58,DON-2015-11-12,Dengue Fever - Egypt,11/12/15,https://www.who.int/emergencies/disease-outbreak-news/item/12-november-2015-dengue-en/,Dengue fever,NA,Egypt,EGY,Dayrout District,253,no,2015,EGY_2015,,Yes,
59,DON-2016-02-25-b,Dengue Fever - Uruguay,2/25/16,https://www.who.int/emergencies/disease-outbreak-news/item/25-february-2016-dengue-en/,Dengue fever,NA,Uruguay,URY,Montevideo,NA,no,2016,URY_2016,,No,
61,DON-2016-11-18,Dengue Fever - Burkina Faso,11/18/16,https://www.who.int/emergencies/disease-outbreak-news/item/18-november-2016-dengue-burkina-faso-en/,Dengue fever,NA,Burkina Faso,BFA,"Ouagadougou, Sahel, Bassins",NA,no,2016,BFA_2016,,"Yes, no prop",
62,DON-2017-07-19-b,Dengue fever - Sri Lanka,7/19/17,https://www.who.int/emergencies/disease-outbreak-news/item/19-july-2017-dengue-sri-lanka-en/,Dengue fever,NA,Sri Lanka,LKA,"Colombo, Gampaha, Kurunegala, Kalutara, Batticaloa, Ratnapura, Kandy",80732,yes,2017,LKA_2017,,"Yes, no prop",
63,DON-2017-08-04,Dengue fever - Cote d’Ivoire,8/4/17,https://www.who.int/emergencies/disease-outbreak-news/item/04-august-2017-dengue-cote-d-ivoire-en/,Dengue fever,NA,Cote d'Ivoire,CIV,Abidjan,NA,no,2017,CIV_2017,,Yes,
64,DON-2017-11-06,Dengue fever - Burkina Faso,11/6/17,https://www.who.int/emergencies/disease-outbreak-news/item/6-november-2017-dengue-burkina-faso-en/,Dengue fever,NA,Burkina Faso,BFA,Ougadougou,9029,no,2017,BFA_2017,,Yes,
65,DON-2018-05-01,"Dengue fever - Réunion, France",5/1/18,https://www.who.int/emergencies/disease-outbreak-news/item/01-may-2018-dengue-reunion-en/,Dengue fever,NA,Reunion (France),REU,"western, southern parts of island",NA,no,2018,REU_2018,,Yes,
66,DON-2019-02-04,Dengue fever - Jamaica,2/4/19,https://www.who.int/emergencies/disease-outbreak-news/item/4-february-2019-dengue-jamaica-en/,Dengue fever,NA,Jamaica,JAM,"Kingston, Saint Andrew",1325,yes,2019,JAM_2019,,"Yes, no prop",
67,DON-2019-05-20,"Dengue fever - Réunion, France",5/20/19,https://www.who.int/emergencies/disease-outbreak-news/item/20-may-2019-dengue-reunion-en/,Dengue fever,NA,Reunion (France),REU,"Etang-Sale, Les Aviron, Saint-Joseph, Petite-Ile Saint-Louis",NA,no,2019,REU_2019,,Yes,
68,DON-2019-11-19,Dengue fever - Pakistan,11/19/19,https://www.who.int/emergencies/disease-outbreak-news/item/19-november-2019-dengue-pakistan-en/,Dengue fever,NA,Pakistan,PAK,"Khyber Pakhtunkhwa, Punjab, Balochistan, Sindh, ICT, Azad Jammu, Kashmir",NA,yes,2019,PAK_2019,Page can't be found ,No,
69,DON-2019-11-22,Dengue fever - Republic of the Sudan,11/22/19,https://www.who.int/emergencies/disease-outbreak-news/item/22-november-2019-dengue-sudan-en/,Dengue fever,NA,Republic of the Sudan,SDN,"Kassala, West Darfur, North Darfur, Red Sea, South Darfur, Gadarif, North Kordofan",1197,no,2019,SDN_2019,Page can't be found ,,
70,DON-2019-12-13,Dengue fever - Afghanistan,12/13/19,https://www.who.int/emergencies/disease-outbreak-news/item/13-december-2019-dengue-afghanistan-en/,Dengue fever,NA,Afghanistan,AFG,"Faryab, Kabul, Paktita, Laghman, Paktya, Nangarhar",NA,no,2019,AFG_2019,Page can't be found ,,
