"","X","cases","adjusted_year","YearN","ISO_A0","full_name","continent","population_total","mean_fitted","dis_mean","dis_variance","dis_0.025","dis_0.975","dis_0.05","dis_0.95","dis_time","dis_all","continentID","countryID","region_join","country_join","global_post_mean","global_post_sd","region_post_mean","region_post_sd","country_post_mean","country_post_sd","total_post_mean","total_post_sd","post_variance"
"408",408,155255,2010,21,"COL","Colombia","South America",44777319,346.72708396251,0.927876485654914,0.507476476449078,-0.365273530858931,1.93483823106374,-0.178632107378995,1.74787539521414,0.927876485654914,2.55595655774439,5,12,"South America_21","COL_21",-0.000152221839666277,0.0151735566137908,0.142685837925354,0.421578482763276,0.78688888169629,0.569800441742645,0.929422497781978,1.00655248111971,1.01314789724825
"409",409,4530,2018,29,"CRI","Costa Rica","Central America",4957818,91.3878919124049,-0.962824182225131,0.56534621860575,-1.86796216241555,0.537995988944723,-1.6725233776556,0.342777424188414,-0.962824182225131,0.775098033343788,3,13,"Central America_29","CRI_29",-0.000696356353461392,0.0156161594057476,-0.302562257603004,0.457325813670717,-0.663647214781205,0.601727213893876,-0.966905828737671,1.07466918697034,1.15491386142349
"410",410,2309,1996,7,"CRI","Costa Rica","Central America",3619013,63.8087032519117,0.390572951938706,0.582836340323184,-0.732604874584632,1.71190050119442,-0.533206551858421,1.51439846197688,0.390572951938706,2.12849516750762,3,13,"Central America_7","CRI_7",-0.000367806475760624,0.0154299868960051,-0.0927642535372992,0.458121987661794,0.48407822740412,0.606896905389878,0.39094616739106,1.08044887994768,1.16736978218019
"411",411,13838,2011,22,"CRI","Costa Rica","Central America",4609833,300.196016934611,-0.354943236862264,0.555065297623339,-1.25829149135525,1.12301789353677,-1.06555081142201,0.929063146927893,-0.354943236862264,1.38297897870666,3,13,"Central America_22","CRI_22",-6.89116478899139e-05,0.01509266263608,-0.285100377214928,0.452696287334877,-0.0680764990566756,0.591750493168394,-0.353245787919494,1.05953944313935,1.12262383156805
"412",412,7214,2009,20,"CRI","Costa Rica","Central America",4499791,160.344385674379,-0.978897457543367,0.55248279957627,-2.46252888439106,-0.0885289132035968,-2.26944269288927,-0.280967016512213,-0.978897457543367,0.759024758025552,3,13,"Central America_20","CRI_20",-2.59210422780573e-05,0.0150943546118229,0.299141000073085,0.447250946933367,-1.27756747507475,0.588401803730204,-0.97845239604394,1.05074710527539,1.10406947924462
"413",413,0,1990,1,"CRI","Costa Rica","Central America",3121706,0.0414444317560124,-1.70338764798642,1.4284309286217,-3.71915205735814,0.509635347783483,-3.38001987070136,0.164267857870741,-1.70338764798642,0.0345345675825024,3,13,"Central America_1","CRI_1",0.000641663897469316,0.0152185065,-0.0916665190777476,0.542198958376116,-1.61239172661225,1.0479823648257,-1.70341658179253,1.60539982970181,2.57730861320661
"414",414,10056,2020,31,"CRI","Costa Rica","Central America",5034320,199.75677305402,0.00759956551920907,0.614250112544874,-1.06278659857236,1.4639786821697,-0.856301770356967,1.26037671108798,0.00759956551920907,1.74552178108813,3,13,"Central America_31","CRI_31",-0.000991699508948108,0.0157658830251227,-0.200210089368462,0.465222107074477,0.199109191012972,0.628836083985806,-0.00209259786443823,1.1098240740854,1.23170947541953
"415",415,31565,2023,34,"CRI","Costa Rica","Central America",5105525,618.252651563762,1.22731983444811,1.03903305664482,-0.853555925948216,2.61262609468875,-0.573496243527559,2.33109344753974,1.22731983444811,2.96524205001703,3,13,"Central America_34","CRI_34",0.000870231879026504,0.0154078877382705,0.348706687645994,0.526450832283905,0.860571771940258,0.866683596594295,1.21014869146528,1.40854231661647,1.98399145769929
"416",416,8212,2008,19,"CRI","Costa Rica","Central America",4440056,184.968287004676,-0.833418613622293,0.553352122569691,-1.56242239914451,0.812246054520878,-1.37073108287619,0.618309914229598,-0.833418613622293,0.904503601946626,3,13,"Central America_19","CRI_19",0.000374087542904336,0.0152505113875861,-0.455328637344692,0.450838914762077,-0.37798615552887,0.589037327582187,-0.832940705330657,1.05512675373185,1.11329246644071
"417",417,22243,2012,23,"CRI","Costa Rica","Central America",4663934,476.92485680922,0.122542656163249,0.556763357421976,-1.11637699072429,1.26722072540271,-0.92320402959832,1.07332281853097,0.122542656163249,1.86046487173217,3,13,"Central America_23","CRI_23",-0.000160364469976264,0.015755251747035,0.0403644813753225,0.452686863183137,0.0861409107909034,0.589164453112262,0.12634502769625,1.05760656804243,1.1185316527665
"418",418,0,1992,3,"CRI","Costa Rica","Central America",3284258,0.0543784544066198,-3.41013477387268,1.08320761836807,-4.39932561718393,-0.761639925839315,-4.10319130020056,-1.05464167531371,-3.41013477387268,-1.67221255830376,3,13,"Central America_3","CRI_3",-0.00049220025874121,0.0153536386397756,-0.838988939189434,0.499533247281195,-2.576884112084,0.90569965598011,-3.41636525153218,1.42058654190108,2.01806612303047
"419",419,30700,2016,27,"CRI","Costa Rica","Central America",4866998,630.783347441489,0.716091883602888,0.559130172370845,-0.642747528775942,1.74929793705795,-0.449440114637483,1.55416333056241,0.716091883602888,2.45401409917181,3,13,"Central America_27","CRI_27",0.000442503599878118,0.0151060676294404,0.163638330218223,0.453733833182171,0.555115703664026,0.598721884312483,0.719196537482128,1.0675617851241,1.13968816505734
"420",420,31484,2010,21,"CRI","Costa Rica","Central America",4555962,691.059923801022,0.477181356504232,0.553676303847721,-1.04868447887965,1.32770774857778,-0.856021694907695,1.13445857960356,0.477181356504232,2.21510357207315,3,13,"Central America_21","CRI_21",-0.000152221839666277,0.0151735566137908,0.340361175990436,0.447153496128993,0.138830601684673,0.588248997385108,0.479039555835442,1.05057605012789,1.10371003710232
"421",421,4908,2000,11,"CRI","Costa Rica","Central America",3937739,124.659714870762,-0.663652495335469,0.563393444409554,-1.72888851410344,0.673027849307301,-1.53347424230573,0.478430165689291,-0.663652495335469,1.07426972023345,3,13,"Central America_11","CRI_11",0.000262975453026007,0.0152743073244148,-0.138901542850909,0.453625345415399,-0.528902104743808,0.600381495310569,-0.667540672141691,1.06928114805038,1.14336217357594
"422",422,2628,1998,9,"CRI","Costa Rica","Central America",3782838,69.4964690143092,-0.598714540143937,0.569687596161199,-2.05077957864234,0.363489407922223,-1.85516824871283,0.167104998233024,-0.598714540143937,1.13920767542498,3,13,"Central America_9","CRI_9",0.000918602648800626,0.016130395513665,0.24151813133446,0.447959912204349,-0.841416173008674,0.593771035671076,-0.598979439025413,1.05786134338909,1.11907062183697
"423",423,13929,1994,5,"CRI","Costa Rica","Central America",3451122,403.57913327623,3.80232145832566,0.620171740992189,1.60082393027528,4.14083878257201,1.80846694472863,3.93627513718315,3.80232145832566,5.54024367389458,3,13,"Central America_5","CRI_5",-0.00076459591001074,0.0150544821459418,0.934013129264037,0.468375777452905,2.86963463641345,0.632966588053288,3.80288316976748,1.11639684765213,1.24634192144762
"424",424,16742,2014,25,"CRI","Costa Rica","Central America",4767119,351.211959665124,-0.0809249866794194,0.560311418255273,-1.56481719196185,0.825773262670116,-1.37165016539546,0.630738545417596,-0.0809249866794194,1.6569972288895,3,13,"Central America_25","CRI_25",0.000567958358517172,0.0156066816116153,0.291560529230479,0.454340105732575,-0.366939629935076,0.591998716336193,-0.0748111423460792,1.06194550368038,1.12772825278698
"425",425,12052,2006,17,"CRI","Costa Rica","Central America",4321340,278.908830423727,-0.407569077497431,0.553682845252379,-1.42401730239459,0.948501936092999,-1.23143063887318,0.755797495918571,-0.407569077497431,1.33035313807149,3,13,"Central America_17","CRI_17",0.000159348654032088,0.0152672962532426,-0.17377104937131,0.453339419125081,-0.23374908785348,0.590920180663407,-0.407360788570758,1.05952689604173,1.12259724343582
"426",426,26504,2007,18,"CRI","Costa Rica","Central America",4380248,605.08835306677,0.356200237645348,0.551947071665766,-0.935731695264046,1.43521570368715,-0.743253298928669,1.24265615753856,0.356200237645348,2.09412245321427,3,13,"Central America_18","CRI_18",-0.000118059491313606,0.0153085410866821,0.108690360490901,0.450628732251508,0.248512228868011,0.589912307110822,0.357084529867598,1.05584958044901,1.11481833653435
"427",427,7485,2022,33,"CRI","Costa Rica","Central America",5081765,147.303111980602,-0.218430844135646,0.814478300249843,-1.68965762600679,1.3155608699168,-1.44678777378485,1.07121739439376,-0.218430844135646,1.51949137143327,3,13,"Central America_33","CRI_33",0.000571073875941391,0.0155095497867018,-0.0329832690835226,0.493469143930378,-0.200185823088671,0.751926026818248,-0.232598018296253,1.26090472053533,1.58988071426827
"428",428,5174,2021,32,"CRI","Costa Rica","Central America",5059988,102.26428974164,-0.607689158162347,0.685605073494612,-1.47135762065794,1.23261356981809,-1.24985155361262,1.01552904830332,-0.607689158162347,1.13023305740657,3,13,"Central America_32","CRI_32",-0.00170686246671241,0.0157966219740494,-0.491704733291172,0.481486734317002,-0.126735762170453,0.683649389711525,-0.620147357928338,1.18093274600258,1.39460215058119
