"","ISO_A0","adjusted_year","cases","full_name","continent","label_y","hemisphere","join","total_missing","YearN","YearN2","YearN3","YearN4","population_total","ave_cases","avg_inc","YearN_continent","YearN_country","offset1","country","countryID","continentID"
"59","ARG",2013,3270,"Argentina","South America",-33.501159,"south","ARG 2013",7,24,24,24,24,42582455,26642.2,59.2178101978897,"South America_24","ARG_24",425.82455,"ARG",2,5
"60","ARG",2014,2605,"Argentina","South America",-33.501159,"south","ARG 2014",7,25,25,25,25,43024071,26642.2,59.2178101978897,"South America_25","ARG_25",430.24071,"ARG",2,5
"61","ARG",2015,77874,"Argentina","South America",-33.501159,"south","ARG 2015",7,26,26,26,26,43477012,26642.2,59.2178101978897,"South America_26","ARG_26",434.77012,"ARG",2,5
"62","ARG",2016,4299,"Argentina","South America",-33.501159,"south","ARG 2016",7,27,27,27,27,43900313,26642.2,59.2178101978897,"South America_27","ARG_27",439.00313,"ARG",2,5
"63","ARG",2017,1788,"Argentina","South America",-33.501159,"south","ARG 2017",7,28,28,28,28,44288894,26642.2,59.2178101978897,"South America_28","ARG_28",442.88894,"ARG",2,5
"64","ARG",2018,3203,"Argentina","South America",-33.501159,"south","ARG 2018",7,29,29,29,29,44654882,26642.2,59.2178101978897,"South America_29","ARG_29",446.54882,"ARG",2,5
"65","ARG",2019,59492,"Argentina","South America",-33.501159,"south","ARG 2019",7,30,30,30,30,44973465,26642.2,59.2178101978897,"South America_30","ARG_30",449.73465,"ARG",2,5
"66","ARG",2020,3972,"Argentina","South America",-33.501159,"south","ARG 2020",7,31,31,31,31,45191965,26642.2,59.2178101978897,"South America_31","ARG_31",451.91965,"ARG",2,5
"67","ARG",2021,841,"Argentina","South America",-33.501159,"south","ARG 2021",7,32,32,32,32,45312281,26642.2,59.2178101978897,"South America_32","ARG_32",453.12281,"ARG",2,5
"68","ARG",2022,118089,"Argentina","South America",-33.501159,"south","ARG 2022",7,33,33,33,33,45407904,26642.2,59.2178101978897,"South America_33","ARG_33",454.07904,"ARG",2,5
"69","ARG",2023,610041,"Argentina","South America",-33.501159,"south","ARG 2023",7,34,34,34,34,45538401,26642.2,59.2178101978897,"South America_34","ARG_34",455.38401,"ARG",2,5
"70","ARG",2024,305,"Argentina","South America",-33.501159,"south","ARG 2024",7,35,35,35,35,45696159,26642.2,59.2178101978897,"South America_35","ARG_35",456.96159,"ARG",2,5
"71","ATG",1990,1,"Antigua And Barbuda","Caribbean",17.352249,"north","ATG 1990",8,1,1,1,1,63066,70.2857142857143,77.7830472830165,"Caribbean_1","ATG_1",0.63066,"ATG",3,2
