"","adm0_a3","adjusted_year","annual_precip_mean","anom_ref","precip_anomaly"
"1650","SLV",2018,0.00393093454537545,0.00430023789890078,-0.000369303353525335
"1651","SLV",2019,0.0038910702148011,0.00430023789890078,-0.000409167684099682
"1652","SLV",2020,0.00539437715572906,0.00430023789890078,0.00109413925682828
"1653","SLV",2021,0.00412040836272354,0.00430023789890078,-0.000179829536177244
"1654","SLV",2022,0.00534214900350586,0.00430023789890078,0.00104191110460508
"1655","SLV",2023,0.00365211700924798,0.00430023789890078,-0.000648120889652798
"1656","SLV",2024,0.00562395539388187,0.00430023789890078,0.00132371749498109
"1657","SUR",1990,0.00485526058764663,0.0048661878724589,-1.09272848122701e-05
"1658","SUR",1991,0.00364058562748445,0.0048661878724589,-0.00122560224497445
"1659","SUR",1992,0.00285924242537779,0.0048661878724589,-0.0020069454470811
"1660","SUR",1993,0.00417061462455119,0.0048661878724589,-0.000695573247907709
"1661","SUR",1994,0.00399769334277759,0.0048661878724589,-0.000868494529681306
"1662","SUR",1995,0.00393629014918891,0.0048661878724589,-0.000929897723269985
"1663","SUR",1996,0.00488163005987493,0.0048661878724589,1.54421874160307e-05
"1664","SUR",1997,0.00367239061597502,0.0048661878724589,-0.00119379725648388
"1665","SUR",1998,0.00388813421401816,0.0048661878724589,-0.000978053658440735
"1666","SUR",1999,0.00527719177383309,0.0048661878724589,0.00041100390137419
"1667","SUR",2000,0.00516296909578765,0.0048661878724589,0.000296781223328759
"1668","SUR",2001,0.00410655158339068,0.0048661878724589,-0.000759636289068213
"1669","SUR",2002,0.00459246999525931,0.0048661878724589,-0.000273717877199589
"1670","SUR",2003,0.00407846737653017,0.0048661878724589,-0.000787720495928726
"1671","SUR",2004,0.00440348258416634,0.0048661878724589,-0.000462705288292556
"1672","SUR",2005,0.00496397035991928,0.0048661878724589,9.77824874603865e-05
"1673","SUR",2006,0.005560522035618,0.0048661878724589,0.000694334163159106
"1674","SUR",2007,0.00547284212855933,0.0048661878724589,0.00060665425610043
"1675","SUR",2008,0.00574052041823355,0.0048661878724589,0.000874332545774652
"1676","SUR",2009,0.00389657883594433,0.0048661878724589,-0.000969609036514562
"1677","SUR",2010,0.00625502192027246,0.0048661878724589,0.00138883404781356
"1678","SUR",2011,0.00577334281600391,0.0048661878724589,0.000907154943545012
"1679","SUR",2012,0.00554340501063659,0.0048661878724589,0.00067721713817769
"1680","SUR",2013,0.00576866800353552,0.0048661878724589,0.000902480131076623
"1681","SUR",2014,0.00426698967930861,0.0048661878724589,-0.000599198193150288
"1682","SUR",2015,0.00464819736468295,0.0048661878724589,-0.000217990507775943
"1683","SUR",2016,0.00561395954961578,0.0048661878724589,0.000747771677156885
"1684","SUR",2017,0.00628473427301894,0.0048661878724589,0.00141854640056004
"1685","SUR",2018,0.00644813142328834,0.0048661878724589,0.00158194355082944
"1686","SUR",2019,0.00508022962215667,0.0048661878724589,0.000214041749697773
"1687","SUR",2020,0.00600080926475736,0.0048661878724589,0.00113462139229846
"1688","SUR",2021,0.0077401102365305,0.0048661878724589,0.00287392236407161
"1689","SUR",2022,0.00786057737423107,0.0048661878724589,0.00299438950177217
"1690","SUR",2023,0.00577025431751584,0.0048661878724589,0.000904066445056944
